idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
0,1.00,1.00,1.00,1.00,1.00,1.00,0.35,1.00,1.00,1.00,1.00,0.35,1.00,1.00,1.00,1.00,1.00,1.00,0.32,0.99,1.00,0.97,1.00,0.32,1.00,0.53,0.24,1.00,0.18,0.09,1.00,1.00,0.86,1.00,0.86,0.82
1,0.94,1.00,1.00,1.00,1.00,0.94,0.23,1.00,1.00,0.85,1.00,0.23,1.00,1.00,1.00,0.89,1.00,0.89,0.29,0.60,1.00,0.25,1.00,0.22,1.00,0.83,0.56,1.00,0.46,0.37,1.00,0.42,1.00,0.07,1.00,0.07
2,1.00,1.00,1.00,1.00,0.91,0.91,0.65,1.00,1.00,1.00,0.97,0.61,1.00,1.00,1.00,0.86,1.00,0.86,0.23,1.00,1.00,0.89,1.00,0.23,1.00,1.00,0.01,1.00,0.00,0.00,1.00,1.00,0.58,0.77,0.85,0.36
3,0.99,1.00,1.00,1.00,1.00,0.99,0.37,1.00,1.00,1.00,1.00,0.37,1.00,1.00,1.00,1.00,1.00,1.00,0.22,1.00,1.00,0.98,1.00,0.22,1.00,0.58,0.41,1.00,0.27,0.11,1.00,1.00,0.95,1.00,0.99,0.94
4,1.00,1.00,1.00,1.00,1.00,1.00,0.57,0.03,1.00,0.28,1.00,0.01,1.00,0.44,1.00,0.64,1.00,0.44,0.54,0.11,1.00,0.27,1.00,0.09,1.00,0.14,0.93,0.86,0.76,0.11,1.00,0.99,0.99,0.90,0.96,0.86
5,1.00,1.00,1.00,1.00,0.98,0.98,0.58,1.00,1.00,1.00,0.97,0.54,1.00,1.00,1.00,1.00,1.00,1.00,0.74,0.94,1.00,0.95,0.99,0.73,1.00,1.00,1.00,1.00,0.61,0.61,1.00,1.00,1.00,1.00,1.00,1.00
6,1.00,1.00,1.00,1.00,1.00,1.00,0.22,1.00,1.00,0.90,1.00,0.22,1.00,1.00,1.00,0.89,1.00,0.89,0.23,1.00,1.00,0.34,1.00,0.23,1.00,1.00,0.47,1.00,0.05,0.05,1.00,1.00,1.00,0.37,1.00,0.37
7,0.93,1.00,1.00,1.00,1.00,0.93,0.15,1.00,1.00,0.96,1.00,0.15,1.00,1.00,1.00,0.89,1.00,0.89,0.29,0.60,1.00,0.25,1.00,0.22,1.00,0.80,0.55,1.00,0.46,0.36,1.00,0.38,1.00,0.07,1.00,0.07
8,1.00,1.00,1.00,1.00,1.00,1.00,0.18,1.00,1.00,1.00,1.00,0.18,1.00,1.00,1.00,0.81,1.00,0.81,0.25,0.76,1.00,0.40,1.00,0.24,1.00,1.00,0.84,1.00,0.20,0.20,1.00,0.71,0.96,0.33,1.00,0.27
9,1.00,1.00,1.00,1.00,1.00,1.00,0.40,1.00,1.00,0.98,1.00,0.40,1.00,1.00,1.00,1.00,1.00,1.00,0.24,1.00,1.00,0.99,1.00,0.24,1.00,1.00,1.00,1.00,0.90,0.90,1.00,1.00,1.00,0.99,0.98,0.97
