idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
0,1,1,1,1,1,1,0.554,1,1,1,1,0.554,1,1,1,1,1,1,0.7075,1,1,1,1,0.7075,1,0.44,0.951,1,0.8145,0.302,1,1,0.997,1,0.6095,0.607
1,1,1,1,1,1,1,0.4785,1,1,1,1,0.4785,1,1,1,1,1,1,0.733,0.889,1,0.645,1,0.5775,1,0.51,0.9375,1,0.761,0.369,1,0.3525,0.9915,0.3485,0.9645,0.2985
2,1,1,1,1,0.583,0.583,0.6455,1,1,1,0.8705,0.516,1,1,1,1,1,1,0.567,1,1,1,1,0.567,1,1,0.081,1,0,0,1,1,0.646,0.9295,0.419,0.3455
3,1,1,1,1,1,1,0.575,0.9975,1,1,1,0.575,1,1,1,1,1,1,0.553,1,1,1,1,0.553,1,0.4395,0.794,1,0.6845,0.4395,1,1,0.918,1,0.9165,0.8345
4,1,1,1,1,1,1,0.7445,0,0.9205,0.35,1,0,1,0.6495,1,0.8945,1,0.6495,0.874,0.3535,1,0.567,1,0.339,1,0.475,0.998,1,0.9615,0.4365,1,0.9335,0.9845,0.918,0.6325,0.537
5,1,1,1,1,0.9815,0.9815,0.6015,1,1,1,0.9765,0.578,1,1,1,1,1,1,0.8675,0.966,1,1,0.981,0.84,1,1,1,1,0.4355,0.4355,1,1,1,1,0.996,0.996
6,1,1,1,1,1,1,0.481,1,1,1,1,0.481,1,1,1,1,1,1,0.562,1,1,0.79,1,0.562,1,1,0.571,1,0.2885,0.2885,1,1,1,0.5455,1,0.5455
7,1,1,1,1,1,1,0.3835,1,1,1,1,0.3835,1,1,1,1,1,1,0.7335,0.889,1,0.6475,1,0.5765,1,0.4955,0.9295,1,0.867,0.469,1,0.3525,0.9985,0.3485,1,0.334
8,1,1,1,1,1,1,0.422,1,1,1,1,0.422,1,1,1,0.9755,1,0.9755,0.605,0.9985,1,0.737,1,0.5955,1,0.9985,0.972,1,0.314,0.314,1,0.366,0.914,0.5665,0.989,0.3625
9,1,1,1,1,1,1,0.489,1,1,0.982,1,0.489,1,1,1,1,1,1,0.559,1,1,1,1,0.559,1,1,1,1,0.92,0.92,1,1,1,1,0.8255,0.8255
10,1,1,1,1,0.798,0.798,0.595,1,1,1,0.953,0.548,1,1,1,1,1,1,0.6155,1,1,1,1,0.6155,1,0.9795,1,1,0.691,0.673,1,1,1,1,0.9295,0.9295
11,1,1,1,1,1,1,0.6195,0.7295,1,0.9795,1,0.582,1,1,1,1,1,1,0.654,0.946,1,0.998,1,0.654,1,1,1,1,1,1,1,1,1,0.5985,1,0.5985
12,1,1,1,1,1,1,0.7165,0,1,0.6195,0.998,0,1,0.6495,1,0.8785,1,0.6495,0.878,0.3535,1,0.4475,1,0.3085,1,0.4405,1,0.875,1,0.435,1,0.3525,0.9855,0.32,0.999,0.3115
13,1,1,1,1,1,1,0.4925,1,1,0.7975,1,0.4925,1,0.6495,1,0.915,1,0.6495,0.879,0.354,1,0.8315,1,0.354,1,0.4395,0.879,1,0.8795,0.4395,1,0.3525,1,0.3995,1,0.346
14,1,1,1,1,1,1,0.3535,1,1,1,1,0.3535,1,1,1,1,1,1,0.555,1,1,0.8245,1,0.555,1,1,0.8275,1,0.294,0.294,1,1,0.9165,0.996,0.9965,0.913
15,1,1,1,1,0.9925,0.9925,0.503,1,1,0.995,0.987,0.489,1,1,1,1,1,1,0.905,0.653,1,0.9775,1,0.6455,1,0.8615,1,1,0.4595,0.3515,1,1,1,1,0.912,0.912
16,1,1,1,1,1,1,0.7505,0.9995,1,1,1,0.75,1,1,1,1,1,1,0.8775,0.991,1,1,1,0.877,1,0.794,0.9335,1,0.341,0.283,1,0.9335,0.467,0.991,0.4075,0.3225
17,1,1,1,1,1,1,0.427,1,1,1,1,0.427,1,1,1,1,1,1,0.8305,0.877,1,0.9965,1,0.773,1,1,1,0.994,0.8345,0.8285,1,1,1,1,0.893,0.893
18,1,1,1,1,1,1,0.732,0.787,1,0.502,1,0.2265,1,0.6495,1,0.862,1,0.6495,0.881,0.356,1,0.6825,1,0.356,1,0.4395,0.681,1,0.6845,0.4395,1,0.3525,1,0.5295,1,0.352
19,1,1,1,1,0.834,0.834,0.557,1,1,1,1,0.557,1,1,1,1,1,1,0.568,1,1,1,1,0.568,1,0.8895,0.484,1,0.1645,0.1645,1,1,0.5925,1,0.305,0.3025
20,1,1,1,1,0.7515,0.7515,0.7365,1,1,1,0.8565,0.593,1,1,1,0.979,1,0.979,0.8185,0.7375,1,0.9775,1,0.692,1,0.984,0,1,0,0,1,0.8045,0.1015,0.984,0.236,0.008
21,1,1,1,1,0.9995,0.9995,0.548,1,1,1,0.9965,0.5445,1,1,1,1,1,1,0.575,1,1,1,1,0.575,1,1,1,1,0.9085,0.9085,1,1,1,1,0.918,0.918
22,1,1,1,1,1,1,0.494,1,1,1,1,0.494,1,1,1,1,1,1,0.562,1,1,1,1,0.562,1,1,0.926,1,0.6785,0.6785,1,1,0.8195,1,0.752,0.601
23,1,1,1,1,0.822,0.822,0.552,1,1,0.8245,1,0.552,1,1,1,1,1,1,0.559,1,1,1,1,0.559,1,1,1,1,0.551,0.551,0.9995,1,0.572,1,0.569,0.5065
24,1,1,1,1,0.9785,0.9785,0.444,1,1,1,0.9995,0.4435,1,1,1,1,1,1,0.8485,0.7,1,0.9485,1,0.6765,1,0.65,1,1,0.9145,0.5645,1,0.9995,1,1,0.9935,0.993
25,1,1,1,1,0.437,0.437,0.7415,1,1,0.9275,0.851,0.5765,1,0.6495,1,0.8925,1,0.6495,0.8845,0.5255,1,0.9105,1,0.5245,1,0.984,0.067,1,0,0,1,0.935,0.62,0.998,0.289,0.218
26,1,1,1,1,0.9935,0.9935,0.5595,1,1,1,0.9985,0.558,1,1,1,1,1,1,0.725,1,1,1,1,0.725,1,0.64,1,0.9,0.4315,0.1995,1,0.9985,1,0.9995,0.9975,0.9955
27,1,1,1,1,1,1,0.353,1,1,0.932,1,0.353,1,1,1,0.9755,1,0.9755,0.6065,0.9965,1,0.9995,1,0.6065,1,1,0.915,1,0.8895,0.878,1,1,0.9735,1,0.9845,0.958
28,1,1,1,1,0.9775,0.9775,0.5005,1,1,1,1,0.5005,1,0.82,1,0.9895,1,0.82,0.852,0.8055,1,0.9995,1,0.7445,1,0.978,0.9805,0.85,0.8675,0.7215,1,0.871,1,0.907,0.9355,0.789
